,group,garment,size,quantity,sequence
0,A,x,1,10,7
1,A,x,2,9,7
2,A,x,3,9,7
3,A,y,1,6,7
4,A,z,2,3,7
5,A,z,3,3,7
6,B,x,1,10,3
7,B,x,2,2,3
8,B,x,3,2,3
9,B,x,4,9,3
10,B,y,1,8,3
11,B,y,2,11,3
12,B,y,3,7,3
13,B,z,1,7,3
14,B,z,2,11,3
15,B,z,3,3,3
16,B,z,4,3,3
17,C,x,1,11,2
18,C,x,2,3,2
19,C,x,3,7,2
20,C,x,4,10,2
21,C,x,5,9,2
22,C,x,6,4,2
23,C,y,1,6,1
24,C,y,2,8,1
25,C,y,3,6,1
26,C,y,4,4,1
27,C,y,5,10,1
28,C,y,6,8,1
29,C,y,7,9,1
30,C,z,1,6,2
31,C,z,2,11,2
32,C,z,3,3,2
33,D,x,1,8,4
34,D,x,2,3,4
35,D,x,3,9,4
36,D,y,1,8,4
37,D,y,2,10,4
38,D,y,3,5,4
39,D,y,4,6,4
40,D,y,5,11,4
41,D,z,1,4,5
42,D,z,2,3,5
43,D,z,3,6,5
44,D,z,4,5,5
45,D,z,5,5,5
46,D,z,6,11,5
47,E,x,1,3,6
48,E,x,2,5,6
49,E,x,3,9,6
50,E,x,4,4,6
51,E,y,1,5,6
52,E,y,2,9,6
53,E,y,3,9,6
54,E,z,1,8,6
55,E,z,2,11,6
56,E,z,3,4,6
57,F,x,1,10,9
58,F,x,2,5,9
59,F,x,3,7,9
60,F,x,4,4,9
61,F,x,5,4,9
62,F,x,6,5,9
63,F,y,1,11,8
64,F,y,2,11,8
65,F,y,3,3,8
66,F,z,4,4,8
67,F,z,1,4,8
68,F,z,2,6,8
69,F,z,3,5,8
